,Thu 2,Thu 3,Thu 4,Thu 5,Thu 6,Thu 7
Tiet 1,,,TA3 (10),TA3 (10),OOP (15),DD (3)
Tiet 2,,,TA3 (10),TA3 (10),OOP (15),DD (3)
Tiet 3,,,,KTMLN (11),,DD (3)
Tiet 4,,,,KTMLN (11),,DD (3)
Tiet 5,,,,KTMLN (11),,DD (3)
Tiet 6,QP1 (5),,OOP (15),,,
Tiet 7,QP1 (5),,OOP (15),,,
Tiet 8,QP1 (5),,OOP (15),,,
Tiet 9,QP1 (5),,OOP (15),,,
Tiet 10,,,OOP (15),,,

Ma mon,TEN,NHOM,THU,TIET BAT DAU,SO TIET,CO SO
861302,KTMLN,11,5,3,3,C
841044,OOP,15,4,9,2,C
841044,OOP,15,6,1,2,C
841044,OOP,15,4,6,3,C
866403,TA3,10,4,1,2,c
866403,TA3,10,5,1,2,C
862406,QP1,5,2,6,4,C
841461,DD,3,7,1,3,C
841461,DD,3,7,4,2,C
